TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-15 10:52:51,1768474371005,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,r9xnb-1768474371005-8b6121d607fc,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,6,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:50,1768474370006,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,j5cg8-1768474370006-24b3f98c7137,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,16,iad1,292,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJR2BWBJ4KBYD66THJ65T,dNXPl19i1zjD,1
2026-01-15 10:52:50,1768474370006,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,j5cg8-1768474370006-24b3f98c7137,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,10,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:49,1768474369008,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,777fx-1768474369008-8ca9d6ba25b6,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,17,iad1,292,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJQ2RRA4PZSFR8XPWSX6Z,dNXPl19i1zjD,1
2026-01-15 10:52:49,1768474369008,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,777fx-1768474369008-8ca9d6ba25b6,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,7,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:48,1768474368000,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,qwfl6-1768474368000-7b3a7d2ff17d,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,17,iad1,292,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJP3HSGMYNA9MATR2FJXV,dNXPl19i1zjD,1
2026-01-15 10:52:48,1768474368000,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,qwfl6-1768474368000-7b3a7d2ff17d,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,7,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:47,1768474367011,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,blsxt-1768474367011-6bcb60794bfb,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,16,iad1,291,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJN4PW83A074P0KZ7XHZA,dNXPl19i1zjD,1
2026-01-15 10:52:47,1768474367011,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,blsxt-1768474367011-6bcb60794bfb,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,static,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,5,bom1,,,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,,,
2026-01-15 10:52:46,1768474366020,handscriptnotes.vercel.app/api/jobs/pZNAKaI3zH29Gi77tC_tJ/status,GET,nxtPjobId=pZNAKaI3zH29Gi77tC_tJ,200,qvlwm-1768474366020-74450ff7cb27,"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,main,STALE,serverless,/api/jobs/[jobId]/status,handscriptnotes.vercel.app,handscript-3wsi98y8t-harrrshalls-projects-b17a0aeb.vercel.app,dpl_9xx3b7HWcLAoxwVHFKuth3hXzNtr,18,iad1,291,2048,,prj_YhiR3dcUXvKKP2OuBvB9MJoI9dYh,,,01KF0MJM57TZV4MHB0M9226KSX,dNXPl19i1zjD,1
